,,,,,,,,,,,,
2015-11-12,"4,942","3,409",243,38,"1,252","2,840",1,1,1,1,digital frontiers: shout,
2015-11-13,"4,303","3,052",169,20,"1,062","2,200",1,1,1,1,digital frontiers: shout,
2015-11-14,"5,539","3,545","1,039",202,753,"1,989",1,1,0,1,digital frontiers: shout,
2015-11-15,985,562,114,24,285,222,1,1,0,1,digital frontiers: shout,
2015-11-16,"4,731","3,222",252,41,"1,216","2,929",1,1,1,1,digital frontiers: shout,
2015-11-17,"5,973","4,141",370,72,"1,390","3,022",1,1,1,1,digital frontiers: shout,
2015-11-18,"4,045","2,852",255,54,884,"1,838",1,1,1,1,digital frontiers: shout,
2015-11-19,"4,877","3,518",262,52,"1,045","2,735",1,1,1,1,digital frontiers: shout,
2015-11-20,"3,990","2,779",190,34,987,"2,094",1,1,1,1,digital frontiers: shout,
2015-11-21,"1,293",751,237,50,255,229,1,1,0,1,digital frontiers: shout,
2015-11-22,"1,659",497,531,387,244,158,1,1,0,1,digital frontiers: shout,
2015-11-23,"4,414","2,929",203,28,"1,254","2,708",1,1,1,0,,
2015-11-24,"5,012","3,555",214,38,"1,205","2,814",1,1,1,0,,
2015-11-25,"4,100","2,909",243,39,909,"1,979",1,1,1,1,birmingham city university postgraduate open day,
2015-11-26,"5,264","3,851",221,26,"1,166","2,862",1,1,1,0,,
2015-11-27,"3,878","2,748",196,19,915,"1,926",1,1,1,0,,
2015-11-28,"1,381",921,172,31,257,204,1,1,0,0,,
2015-11-29,826,447,117,20,242,133,1,1,0,0,,
2015-11-30,"4,759","3,344",179,72,"1,164","2,706",1,1,1,0,,
2015-12-01,"4,784","3,270",236,60,"1,218","2,784",1,1,1,0,,
2015-12-02,"3,278","2,281",204,23,770,"1,754",1,1,1,0,,
2015-12-03,"4,878","3,549",174,58,"1,097","2,800",1,1,1,0,,
2015-12-04,"3,621","2,492",184,58,887,"2,001",1,1,1,0,,
2015-12-05,"1,217",736,217,25,239,286,1,1,0,0,,
2015-12-06,740,477,91,9,163,275,1,1,0,0,,
2015-12-07,"4,547","3,208",196,18,"1,125","2,789",1,1,1,0,,
2015-12-08,"4,441","3,029",227,38,"1,147","2,802",1,1,1,0,,
2015-12-09,"3,641","2,460",213,48,920,"2,134",1,1,1,0,,
2015-12-10,"5,240","3,800",207,42,"1,191","2,565",1,1,1,0,,
2015-12-11,"4,206","3,080",146,40,940,"1,859",1,1,1,0,,
2015-12-12,"1,350",802,173,129,246,245,1,1,0,0,,
2015-12-13,"1,176",606,188,120,262,271,1,1,0,0,,
2015-12-14,"4,248","2,910",246,87,"1,005","2,382",1,1,1,0,,
2015-12-15,"4,327","3,106",219,16,986,"2,292",1,1,1,1,Millennium point to host live space launch,
2015-12-16,"3,091","2,230",214,20,627,"1,495",1,1,1,0,,
2015-12-17,"3,386","2,364",175,32,815,"1,860",1,1,1,0,,
2016-01-10,857,462,130,21,244,0,1,0,1,0,,
2016-01-11,"3,951","2,684",139,25,"1,103","2,486",1,0,0,0,,
2016-01-12,"3,633","2,471",171,27,964,"2,256",1,0,0,0,,
2016-01-13,"2,957","1,992",169,19,777,"1,610",1,0,1,0,,
2016-01-14,"3,622","2,558",119,16,929,"2,294",1,0,1,0,,
2016-01-15,"2,942","2,010",119,19,794,"1,651",1,0,1,0,,
2016-01-16,"1,381",877,81,14,409,328,1,0,1,0,,
2016-01-17,978,503,148,32,295,294,1,0,1,0,,
2016-01-18,"3,733","2,628",121,23,961,"2,128",1,0,0,0,,
2016-01-19,"3,272","2,189",129,28,926,"1,974",1,0,0,0,,
2016-01-20,"3,049","1,992",134,20,903,"1,699",1,0,1,0,,
2016-01-21,"3,545","2,422",152,71,900,"1,722",1,0,1,0,,
2016-01-22,"2,962","2,056",152,13,741,"1,197",1,0,1,0,,
2016-01-23,"1,576",924,250,2,400,220,1,0,1,0,,
2016-01-24,964,452,175,1,336,129,1,0,1,0,,
2016-01-25,"3,676","2,652",206,4,814,"1,558",1,1,0,0,,
2016-01-26,"3,812","2,811",196,2,803,"1,378",1,1,0,0,,
2016-01-27,"3,196","2,287",193,8,708,"1,229",1,1,1,0,,
2016-01-28,"3,480","2,595",172,2,711,"1,318",1,1,1,0,,
2016-01-29,"3,162","2,293",208,1,660,"1,017",1,1,1,0,,
2016-01-30,"2,747","1,640",405,4,698,"1,197",1,1,1,0,,
2016-01-31,"1,240",573,227,0,440,251,1,1,1,0,,
2016-02-01,"4,944","3,777",155,0,"1,012","2,431",1,1,0,0,,
2016-02-02,"5,596","3,993",213,2,"1,388","2,746",1,1,0,0,,
2016-02-03,"3,974","2,920",204,2,848,"1,917",1,1,1,0,,
2016-02-04,"5,049","3,743",147,2,"1,157","2,458",1,1,1,0,,
2016-02-05,"4,320","3,186",184,4,946,"1,841",1,1,1,0,,
2016-02-06,"2,433","1,493",345,1,594,238,1,1,1,0,,
2016-02-07,"2,475","1,598",250,1,626,156,1,1,1,0,,
2016-02-08,"4,783","3,467",161,1,"1,154","2,329",1,1,0,0,,
2016-02-09,"5,359","3,753",231,0,"1,375","2,611",1,1,0,0,,
2016-02-10,"3,921","2,781",217,3,920,"1,821",1,1,1,0,,
2016-02-11,"4,636","3,336",164,2,"1,134","2,464",1,1,1,0,,
2016-02-12,"3,991","2,779",192,0,"1,020","1,770",1,1,1,0,,
2016-02-13,"1,678","1,087",224,0,367,221,0,1,1,0,,
2016-02-14,"1,333",826,136,2,369,121,0,1,1,0,,
2016-02-15,"5,653","3,901",221,3,"1,528","2,186",0,1,0,0,,
2016-02-16,"6,036","4,099",260,3,"1,674","2,449",0,1,0,0,,
2016-02-17,"5,517","3,688",292,9,"1,528","1,880",0,1,1,0,,
2016-02-18,"6,299","4,363",329,37,"1,570","2,226",0,1,1,1,Langar on campus,
2016-02-19,"5,820","3,867",320,62,"1,571","1,631",0,1,1,0,,
2016-02-20,"2,879","1,901",305,36,637,935,0,1,1,0,,
2016-02-21,"1,422",885,176,16,345,139,1,1,1,0,,
2016-02-22,"5,044","3,653",208,20,"1,163","2,405",1,1,0,1,9 degrees of seperation,
2016-02-23,"5,350","3,903",177,18,"1,252","2,448",1,1,0,1,10 degrees of seperation,
2016-02-24,"4,173","3,010",179,25,959,"2,102",1,1,1,1,11 degrees of seperation,
2016-02-25,"4,904","3,566",176,22,"1,140","2,311",1,1,1,1,12 degrees of seperation,
2016-02-26,"4,168","3,049",128,6,985,"1,716",1,1,1,1,13 degrees of seperation,
2016-02-27,"2,552","1,598",321,90,543,877,1,1,1,1,14 degrees of seperation,
2016-02-28,871,581,95,13,182,109,1,1,1,0,,
2016-02-29,"3,775","2,806",206,12,751,"1,597",1,1,0,0,,
2016-03-01,"3,831","2,734",183,43,871,"1,449",1,1,0,0,,
2016-03-02,"4,123","2,903",247,60,913,"1,889",1,1,1,1,"bcu computing, engineering and built environmentl recruitment fair",
2016-03-03,"3,505","2,435",288,26,756,"1,344",1,1,1,0,,
2016-03-04,"3,449","2,660",163,23,603,"1,102",1,1,1,0,,
2016-03-05,"1,615",978,254,62,321,290,1,1,1,0,,
2016-03-06,747,468,93,21,165,81,1,1,1,0,,
2016-03-07,"4,346","3,238",150,19,939,"2,252",1,1,0,0,,
2016-03-08,"4,746","3,342",173,22,"1,209","2,452",1,1,0,0,,
2016-03-09,"4,120","2,968",206,36,910,"2,111",1,1,1,0,,
2016-03-10,"4,466","3,123",198,26,"1,119","2,397",1,1,1,0,,
2016-03-11,"4,004","2,833",153,14,"1,004","1,711",1,1,1,0,,
2016-03-12,"1,495","1,035",175,23,262,237,1,1,1,0,,
2016-03-13,832,588,87,12,145,180,1,1,1,0,,
2016-03-14,"4,502","3,228",198,21,"1,055","2,351",1,1,0,0,,
2016-03-15,"5,324","3,868",243,20,"1,193","2,273",1,1,0,1,eu debate,
2016-03-16,"4,692","3,398",251,32,"1,011","1,831",1,1,1,1,welcome image awards exhibition,
2016-03-17,"4,458","3,140",257,18,"1,043","2,105",1,1,1,1,welcome image awards exhibition,
2016-03-18,"3,946","2,897",188,39,822,"1,561",1,1,1,1,welcome image awards exhibition,
2016-03-19,"1,992","1,218",304,9,461,900,1,1,1,1,welcome image awards exhibition,
2016-03-20,844,591,72,10,171,0,1,1,1,1,welcome image awards exhibition,
2016-03-21,"2,091","1,470",139,11,471,760,1,0,0,1,welcome image awards exhibition,
2016-03-22,"2,405","1,696",127,19,563,876,1,0,0,1,welcome image awards exhibition,
2016-03-23,"2,818","2,034",266,20,498,783,1,0,1,1,welcome image awards exhibition,
2016-03-24,"2,179","1,499",133,23,524,748,1,0,1,1,welcome image awards exhibition,
2016-03-25,"1,379",980,128,25,246,0,0,0,1,1,welcome image awards exhibition,
2016-03-26,"1,987","1,124",310,45,508,8,0,0,1,1,welcome image awards exhibition,
2016-03-27,"1,205",783,151,12,259,0,0,0,1,1,welcome image awards exhibition,
2016-03-28,"2,239","1,255",265,26,693,14,0,0,0,1,welcome image awards exhibition,
2016-03-29,"2,665","1,765",141,20,739,623,0,0,0,1,welcome image awards exhibition,
2016-03-30,"2,145","1,453",112,21,559,612,0,0,1,1,welcome image awards exhibition,
2016-03-31,"2,260","1,585",112,16,547,663,0,0,1,1,welcome image awards exhibition,
2016-04-01,"1,959","1,287",158,29,485,558,0,1,1,1,welcome image awards exhibition,
2016-04-02,"1,753","1,065",150,196,342,130,0,1,1,1,welcome image awards exhibition,
2016-04-03,"1,122",696,108,109,209,0,0,1,1,1,welcome image awards exhibition,
2016-04-04,"4,179","2,815",154,58,"1,152","1,868",0,1,0,1,welcome image awards exhibition,
2016-04-05,"4,099","2,781",164,31,"1,123","2,041",0,1,0,1,welcome image awards exhibition,
2016-04-06,"3,673","2,485",172,15,"1,001","1,517",0,1,1,1,welcome image awards exhibition,
2016-04-07,"4,394","2,898",176,28,"1,292","1,911",0,1,1,1,welcome image awards exhibition,
2016-04-08,"3,868","2,584",198,22,"1,064","1,555",0,1,1,1,welcome image awards exhibition,
2016-04-09,"1,933","1,384",183,71,295,187,0,1,1,1,welcome image awards exhibition,
2016-04-10,803,539,92,17,155,0,0,1,1,1,welcome image awards exhibition,
2016-04-11,"4,311","3,039",151,18,"1,103","2,396",1,1,0,0,,
2016-04-12,"4,233","2,920",149,27,"1,137","2,415",1,1,0,0,,
2016-04-13,"3,290","2,343",130,15,802,"1,677",1,1,1,0,,
2016-04-14,"3,988","2,776",179,21,"1,012","2,219",1,1,1,0,,
2016-04-15,"3,700","2,575",184,22,919,"1,689",1,1,1,0,,
2016-04-16,"1,735","1,248",137,19,331,239,1,1,1,0,,
2016-04-17,796,567,70,3,156,190,1,1,1,0,,
2016-04-18,"3,077","2,249",139,26,663,"1,517",1,1,0,1,boris labbe: rhizome,
2016-04-19,"3,723","2,795",160,16,752,"1,802",1,1,0,1,boris labbe: rhizome,
2016-04-20,"4,214","3,140",276,27,771,"1,941",1,1,1,1,boris labbe: rhizome,
2016-04-21,"3,334","2,467",157,23,687,"1,618",1,1,1,1,boris labbe: rhizome,
2016-04-22,"2,812","2,055",133,16,608,"1,191",1,1,1,1,boris labbe: rhizome,
2016-04-23,"1,518","1,004",191,61,262,330,1,1,1,1,boris labbe: rhizome,
2016-04-24,876,601,86,6,183,222,1,1,1,1,boris labbe: rhizome,
2016-04-25,"4,055","2,851",124,22,"1,058","2,324",1,1,0,0,,
2016-04-26,"4,533","3,265",133,22,"1,113","2,555",1,1,0,0,,
2016-04-27,"3,627","2,560",124,29,914,"2,190",1,1,1,0,,
2016-04-28,"4,361","3,003",168,33,"1,157","2,614",1,1,1,0,,
2016-04-29,"3,348","2,334",129,18,867,"1,666",1,1,1,0,,
2016-04-30,"1,917","1,374",177,25,341,295,1,1,1,0,,
2016-05-01,"1,606","1,021",198,18,369,241,1,1,1,0,,
2016-05-02,"2,568","1,515",223,51,779,46,1,1,0,0,,
2016-05-03,"4,186","2,867",137,20,"1,162","2,620",1,1,0,0,,
2016-05-04,"4,146","2,912",213,12,"1,009","2,361",1,1,1,0,,
2016-05-05,"4,352","3,114",185,19,"1,034","2,333",1,1,1,0,,
2016-05-06,"3,631","2,578",142,6,905,"1,772",1,1,1,0,,
2016-05-07,"1,350",910,152,37,251,371,1,1,1,0,,
2016-05-08,858,631,60,11,156,331,1,1,1,0,,
2016-05-09,"4,030","2,938",305,133,654,"2,236",1,1,0,0,,
2016-05-10,"4,157","2,827",136,38,"1,156","2,442",1,1,0,0,,
2016-05-11,"3,660","2,557",275,56,772,"2,097",1,1,1,0,,
2016-05-12,"4,407","3,024",185,23,"1,175","2,404",1,1,1,0,,
2016-05-13,"3,548","2,519",78,161,790,"1,584",1,1,1,0,,
2016-05-14,"1,591","1,091",33,159,308,433,1,1,1,0,,
2016-05-15,869,577,9,62,221,426,1,1,1,0,,
2016-05-16,"3,774","2,659",45,115,955,"2,145",1,1,0,0,,
2016-05-17,"4,161","2,792",149,86,"1,134","2,381",1,1,0,0,,
2016-05-18,"3,297","2,288",90,22,897,"1,914",1,1,1,0,,
2016-05-19,"3,710","2,508",127,21,"1,054","2,313",1,1,1,0,,
2016-05-20,"3,068","2,177",106,17,768,"1,385",1,0,1,0,,
2016-05-21,"1,629","1,059",174,73,323,362,1,0,1,0,,
2016-05-22,"1,125",733,84,22,286,360,1,0,1,0,,
2016-05-23,"3,432","2,292",135,32,973,"1,815",1,0,0,0,,
2016-05-24,"3,407","2,329",161,25,892,"1,686",1,0,0,0,,
2016-05-25,"3,134","2,132",209,30,763,"1,553",1,0,1,1,fuel cell and hydrogen tech conference,
2016-05-26,"2,872","1,976",155,23,718,"1,355",1,0,1,1,fuel cell and hydrogen tech conference,
2016-05-27,"2,545","1,825",111,25,584,"1,041",1,0,1,0,,
2016-05-28,"1,012",677,116,21,198,226,0,0,1,0,,
2016-05-29,699,481,52,7,159,166,0,0,1,0,,
2016-05-30,"1,024",616,95,25,288,1,0,0,0,1,space for art,
2016-05-31,"2,796","1,905",157,28,706,"1,207",0,0,0,1,space of art,
2016-06-01,"2,703","1,657",243,28,775,789,0,0,1,1,space of art,
2016-06-02,"2,457","1,611",160,22,664,786,0,0,1,1,space of art,
2016-06-03,"2,513","1,730",222,42,519,943,0,0,1,1,bcu innovation vest,
2016-06-04,"1,190",747,210,21,212,137,0,0,1,1,birmingham bigart project,
2016-06-05,906,671,96,16,123,68,0,0,1,0,,
2016-06-06,"2,005","1,450",135,30,390,706,1,0,0,0,,
2016-06-07,"2,064","1,530",108,50,376,640,1,0,0,0,,
2016-06-08,"2,126","1,582",129,44,371,723,1,0,1,0,,
2016-06-09,"2,001","1,459",120,25,397,694,1,0,1,0,,
2016-06-10,"2,253","1,728",166,18,341,604,1,0,1,1,pulp fiction,
2016-06-11,"5,149","3,450","1,193",65,441,"1,234",1,0,1,0,,
2016-06-12,782,422,97,40,223,134,1,0,1,0,,
2016-06-13,"2,062","1,455",150,43,414,691,1,0,0,0,,
2016-06-14,"2,374","1,625",160,71,518,658,1,0,0,0,,
2016-06-15,"2,487","1,684",133,40,630,830,1,0,1,0,,
2016-06-16,"2,071","1,504",111,32,424,639,1,0,1,0,,
2016-06-17,"1,838","1,347",113,25,353,571,1,0,1,0,,
2016-06-18,"1,186",756,167,53,210,138,1,0,1,0,,
2016-06-19,655,416,98,12,129,50,1,0,1,0,,
2016-06-20,"2,010","1,403",142,30,435,526,1,0,0,0,,
2016-06-21,"1,940","1,431",113,21,375,536,1,0,0,0,,
2016-06-22,"1,947","1,449",115,27,356,586,1,0,1,0,,
2016-06-23,"2,396","1,854",136,24,382,585,1,0,1,0,,
2016-06-24,"1,586","1,195",112,14,265,416,1,0,1,0,,
2016-06-25,"1,467",960,174,139,194,100,1,0,1,0,,
2016-06-26,951,531,115,136,169,1,1,0,1,0,,
2016-06-27,"1,848","1,197",172,153,326,557,1,0,0,0,,
2016-06-28,"2,677","1,840",291,47,499,748,1,0,0,1,bcu stem exhibition,
2016-06-29,"1,596","1,069",85,43,399,569,1,0,1,0,,
2016-06-30,"1,820","1,252",144,50,374,570,1,0,1,0,,
2016-07-01,"1,488","1,077",79,17,315,468,1,0,1,0,,
2016-07-02,"1,461","1,041",166,14,240,250,1,0,1,0,,
2016-07-03,565,398,68,13,86,0,1,0,1,0,,
2016-07-04,"1,942","1,494",88,31,329,584,1,0,0,0,,
2016-07-05,"1,610","1,122",108,28,352,559,1,0,0,0,,
2016-07-06,"1,610","1,178",118,19,295,438,1,0,1,0,,
2016-07-07,"2,024","1,479",139,23,383,666,1,0,1,0,,
2016-07-08,"1,531","1,113",89,25,304,419,1,0,1,0,,
2016-07-09,"1,268",857,141,23,247,79,1,0,1,0,,
2016-07-10,748,541,36,16,155,0,1,0,1,0,,
2016-07-11,"2,086","1,505",117,52,412,799,1,0,0,1,bcu pictre this,
2016-07-12,"2,019","1,371",160,59,429,602,1,0,0,1,bcu pictre this,
2016-07-13,"2,273","1,458",325,38,452,568,1,0,1,1,bcu pictre this,
2016-07-14,"1,848","1,414",107,44,283,523,1,0,1,1,bcu pictre this,
2016-07-15,"1,416","1,072",54,36,254,461,1,0,1,1,bcu pictre this,
2016-07-16,900,658,77,35,130,55,1,0,1,1,bcu pictre this,
2016-07-17,605,467,50,8,80,0,1,0,1,1,bcu pictre this,
2016-07-18,"1,654","1,216",72,33,333,696,1,0,0,1,bcu pictre this,
2016-07-19,"1,755","1,176",128,38,413,550,1,0,0,1,bcu pictre this,
2016-07-20,"2,179","1,585",137,28,429,681,1,0,1,1,bcu pictre this,
2016-07-21,"2,185","1,674",100,24,387,808,1,0,1,1,the big read,
2016-07-22,"1,611","1,152",106,22,331,544,1,0,1,1,the big read,
2016-07-23,932,772,60,9,91,75,0,0,1,1,the big read,
2016-07-24,686,525,49,17,95,0,0,0,1,1,the big read,
2016-07-25,"1,768","1,200",99,31,438,694,0,0,0,1,the big read,
2016-07-26,"1,893","1,261",135,38,459,722,0,0,0,1,the big read,
2016-07-27,"2,079","1,308",109,36,626,697,0,0,1,1,the big read,
2016-07-28,"1,931","1,173",166,33,559,571,0,0,1,1,the big read,
2016-07-29,"1,715","1,131",163,18,403,544,0,0,1,1,the big read,
2016-07-30,690,520,50,22,98,68,0,0,1,1,the big read,
2016-07-31,529,375,36,18,100,0,0,0,1,1,the big read,
2016-08-01,"1,969","1,392",107,43,427,556,0,0,0,1,the big read,
2016-08-02,"1,949","1,165",125,43,616,576,0,0,0,1,the big read,
2016-08-03,"1,801","1,204",111,34,452,515,0,0,1,1,the big read,
2016-08-04,"1,657","1,128",139,30,360,450,0,0,1,1,the big read,
2016-08-05,"1,682","1,169",136,20,357,459,0,0,1,1,the big read,
2016-08-06,798,618,55,10,115,82,0,0,1,1,the big read,
2016-08-07,563,369,70,15,109,0,0,0,1,1,the big read,
2016-08-08,"1,332",939,104,23,266,425,0,0,0,1,the big read,
2016-08-09,"1,641","1,094",95,36,416,446,0,0,0,1,the big read,
2016-08-10,"1,605","1,020",160,53,372,401,0,0,1,1,the big read,
2016-08-11,"1,351",873,90,32,356,358,0,0,1,1,the big read,
2016-08-12,"1,369",915,93,35,326,318,0,0,1,1,the big read,
2016-08-13,861,596,56,21,188,48,0,0,1,1,the big read,
2016-08-14,585,366,94,20,105,9,0,0,1,1,the big read,
2016-08-15,"1,467",974,140,41,312,426,0,0,0,1,the big read,
2016-08-16,"1,523","1,059",134,25,305,414,0,0,0,1,the big read,
2016-08-17,"1,601","1,139",129,44,289,491,0,0,1,1,the big read,
2016-08-18,"1,371",948,95,33,295,379,0,0,1,1,the big read,
2016-08-19,"1,761",999,116,51,595,353,0,0,1,1,the big read,
2016-08-20,"1,327",753,127,26,421,119,0,0,1,1,the big read,
2016-08-21,743,399,106,18,220,0,0,0,1,1,the big read,
2016-08-22,"1,814","1,006",239,121,448,462,0,0,0,1,the big read,
2016-08-23,"1,743","1,157",154,49,383,445,0,0,0,1,the big read,
2016-08-24,"2,301","1,547",241,42,471,662,0,0,1,1,the big read,
2016-08-25,"1,852","1,135",56,153,508,465,0,0,1,1,the big read,
2016-08-26,"1,652","1,088",156,59,349,396,0,0,1,1,the big read,
2016-08-27,"1,129",714,98,23,294,72,0,0,1,1,the big read,
2016-08-28,947,513,118,30,286,0,0,0,1,1,the big read,
2016-08-29,954,638,109,19,188,1,0,0,0,1,the big read,
2016-08-30,"1,745","1,216",163,32,334,494,0,0,0,1,the big read,
2016-08-31,"1,926","1,249",189,71,417,441,0,0,1,1,the big read,
2016-09-01,"1,931","1,276",178,69,408,417,0,0,1,1,the big read,
2016-09-02,"1,782","1,195",157,66,364,277,0,0,1,1,the big read,
2016-09-03,"1,373",782,236,35,320,52,0,0,1,1,the big read,
2016-09-04,596,335,130,23,108,0,0,0,1,1,the big read,
2016-09-05,"2,045","1,378",236,75,356,460,1,0,0,1,the big read,
2016-09-06,"1,938","1,358",199,46,335,504,1,0,0,1,the big read,
2016-09-07,"1,645","1,147",203,31,264,503,1,0,1,1,the big read,
2016-09-08,"2,086","1,458",269,54,305,573,1,0,1,1,the big read,
2016-09-09,"1,978","1,352",255,58,313,544,1,0,1,1,the big read,
2016-09-10,"2,508","1,737",420,72,279,89,1,0,1,1,the big read,
2016-09-11,606,434,71,14,87,0,1,0,1,1,the big read,
2016-09-12,"1,816","1,322",125,34,335,745,1,0,0,1,the big read,
2016-09-13,"2,208","1,604",156,56,392,543,1,0,0,1,the big read,
2016-09-14,"2,178","1,564",136,40,438,618,1,0,1,0,,
2016-09-15,"2,000","1,391",156,55,398,591,1,0,1,0,,
2016-09-16,"1,998","1,377",147,40,434,562,1,0,1,0,,
2016-09-17,"1,292",954,103,23,212,105,1,0,1,0,,
2016-09-18,"1,275",941,98,23,213,64,1,0,1,0,,
2016-09-19,"3,977","3,253",210,39,475,"1,712",1,1,0,0,,
2016-09-20,"3,178","2,531",228,47,372,917,1,1,0,0,,
2016-09-21,"5,552","4,081",592,61,818,"1,173",1,1,1,1,bcusu welcome fair,
2016-09-22,"3,088","2,401",225,43,419,"1,314",1,1,1,0,,
2016-09-23,"2,344","1,815",139,32,358,956,1,1,1,0,,
2016-09-24,"3,806","2,712",660,39,395,167,1,1,1,1,the careers and apprenticeships show,
2016-09-25,659,417,84,9,149,0,1,1,1,0,,
2016-09-26,"5,545","4,316",134,60,"1,035","2,768",1,1,0,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
